Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1745;6,139995;0,0211;0,7024;0,0215;28,9961;11,1687;5,4546;True;True;0,3728;0,3873;0,2942;359,1349;66,4134;0,4075;-0,2994;0,0751;-0,0692;-145,0791;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1755;6,279995;0,0223;0,7016;0,0219;29,2864;10,4536;4,6384;True;True;0,3167;0,4396;0,3075;4,7188;69,2791;345,8957;-0,5560;0,7776;0,1825;-148,1358;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1760;6,339995;0,0214;0,7017;0,0216;29,3059;10,1038;4,4564;True;True;0,2592;0,4932;0,2984;3,7493;65,7472;333,8790;-1,2040;0,9132;-0,3047;-151,0123;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1765;6,419995;0,0192;0,7024;0,0214;29,0098;9,5014;4,2206;True;True;0,2114;0,5239;0,2959;8,4836;56,7559;323,9983;-0,4100;0,2747;0,0170;-152,3795;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1770;6,479995;0,0173;0,7027;0,0213;28,8425;8,9343;4,0125;True;True;0,1557;0,5225;0,2884;7,1429;50,8715;320,5389;-1,1871;-0,1140;-0,0934;-153,3080;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1775;6,559995;0,0160;0,7027;0,0214;28,8255;8,4375;3,7545;True;True;0,1063;0,4979;0,2868;11,3302;40,7119;319,8576;-0,5130;-0,1872;-0,0415;-149,0348;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1780;6,619995;0,0152;0,7024;0,0219;28,9108;8,1193;3,6458;True;True;0,0762;0,4707;0,2782;13,7458;35,1306;330,0147;-0,4750;-0,4185;-0,4045;-149,5462;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1785;6,699995;0,0138;0,7019;0,0226;29,1290;7,7821;3,5640;True;True;0,0642;0,4355;0,2742;15,4253;36,0869;352,9394;-0,1389;-0,4196;0,0459;-158,4519;True;False;False;0,9641;0,9714;0,9090;0,8118;0,0000;0,0000;0,0000;0,0000;92413349-26ed-46b7-89d5-50ea0e14ad8f;False;
1790;6,759995;0,0119;0,7014;0,0237;29,1912;7,3348;3,7041;True;True;0,0883;0,4066;0,2975;16,8140;31,2402;5,5513;0,6936;-0,3391;0,4187;-154,5098;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1795;6,839994;0,0108;0,7006;0,0241;29,4450;7,0419;3,9492;True;True;0,1147;0,4010;0,2925;17,2916;33,1415;4,4513;0,3045;-0,1002;-0,0816;-150,1848;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1800;6,899994;0,0116;0,7006;0,0237;29,6341;7,2296;4,2268;True;True;0,1472;0,4308;0,2743;13,5405;43,8990;3,5931;0,4087;0,9042;-0,3459;-155,3283;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1810;7,039994;0,0143;0,7020;0,0218;29,1978;7,9837;4,4861;True;True;0,1793;0,4274;0,2793;5,6701;46,5453;10,4274;0,0552;-0,0061;-0,0014;-155,4791;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1820;7,179994;0,0153;0,7023;0,0215;29,2094;7,5891;4,3147;True;True;0,1796;0,4789;0,2930;0,2036;50,6440;358,3293;-0,0711;0,5109;0,0547;-159,9824;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;7007e84f-f2d8-4131-ac83-bf8f867f6221;False;
1830;7,319994;0,0152;0,7025;0,0214;29,0661;7,1825;3,5050;True;True;0,1384;0,5256;0,2877;5,4384;48,1551;333,5706;-0,2757;0,0266;0,0820;-157,3015;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;7007e84f-f2d8-4131-ac83-bf8f867f6221;False;
1840;7,459994;0,0134;0,7022;0,0211;29,0071;6,4807;2,9321;True;True;0,0728;0,4961;0,2832;16,3055;30,5222;323,8800;-0,0563;-0,0496;-0,1314;-147,5230;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;7007e84f-f2d8-4131-ac83-bf8f867f6221;False;
1845;7,519994;0,0122;0,7023;0,0223;28,8979;6,1545;2,8812;True;True;0,0685;0,4805;0,2782;13,7617;25,2207;342,0627;-0,1040;-0,4478;-0,0665;-154,4065;True;False;False;1,0000;1,0000;1,0000;0,9499;0,0000;0,0000;0,0000;0,0000;7007e84f-f2d8-4131-ac83-bf8f867f6221;False;
1850;7,599994;0,0110;0,7016;0,0229;29,1762;5,8175;2,8834;True;True;0,0718;0,4529;0,2930;15,6527;23,0340;358,5170;0,0378;-0,2351;0,2159;-152,4954;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1855;7,659994;0,0106;0,7008;0,0231;29,4728;5,6533;3,0608;True;True;0,0983;0,4478;0,2950;16,5076;24,1865;4,5377;0,4887;-0,0712;-0,1719;-146,7630;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1860;7,739994;0,0115;0,7009;0,0228;29,5108;5,9558;3,3292;True;True;0,1270;0,4453;0,2870;14,4381;30,2256;3,5576;0,2824;0,0047;-0,0565;-150,1278;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
